% Model:              Анатомическая модель_RPG4.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 11 2025, 13:48
% Table:              Table 1 - Point Evaluation 1
% ro_skin (Ω*m)          ro_scull (Ω*m)           ro_brain (Ω*m)           Electric potential (V), Point: 1
1                        185                      1                        20.232952035822223
1.5                      185                      1                        25.18838198743063
2                        185                      1                        28.3237387436386
2.5                      185                      1                        30.253667093767348
3                        185                      1                        31.364622148358308
3.5                      185                      1                        31.90845292960104
4                        185                      1                        32.05569959747979
4.5                      185                      1                        31.928065406818547
5                        185                      1                        31.60499855144758
1                        190                      1                        20.423912851893448
1.5                      190                      1                        25.512663091221967
2                        190                      1                        28.77140712970045
2.5                      190                      1                        30.80672361785514
3                        190                      1                        32.00557411117762
3.5                      190                      1                        32.622553899634426
4                        190                      1                        32.82691905990018
4.5                      190                      1                        32.745760612864075
5                        190                      1                        32.457983640184665
1                        195                      1                        20.608852629467535
1.5                      195                      1                        25.828484758937726
2                        195                      1                        29.20760324356192
2.5                      195                      1                        31.34822954474521
3                        195                      1                        32.6366632971321
3.5                      195                      1                        33.32571954209327
4                        195                      1                        33.592094916373114
4.5                      195                      1                        33.55639245743171
5                        195                      1                        33.3037636053447
1                        200                      1                        20.78780599092744
1.5                      200                      1                        26.135002359300536
2                        200                      1                        29.633304711600616
2.5                      200                      1                        31.880573931434057
3                        200                      1                        33.25699276898469
3.5                      200                      1                        34.01887950152252
4                        200                      1                        34.34739025165686
4.5                      200                      1                        34.35762544010822
5                        200                      1                        34.14749167159172
1                        205                      1                        20.96064340381585
1.5                      205                      1                        26.433200010623835
2                        205                      1                        30.04987235289869
2.5                      205                      1                        32.39963472883613
3                        205                      1                        33.863500656685275
3.5                      205                      1                        34.70114289325613
4                        205                      1                        35.089154771232685
4.5                      205                      1                        35.15067397093736
5                        205                      1                        34.974186973110164
1                        210                      1                        21.12906462180878
1.5                      210                      1                        26.724054665280946
2                        210                      1                        30.45537268374514
2.5                      210                      1                        32.90690773173121
3                        210                      1                        34.461309766767485
3.5                      210                      1                        35.37394572722587
4                        210                      1                        35.8232632378857
4.5                      210                      1                        35.935378358652514
5                        210                      1                        35.80188180410022
1                        215                      1                        21.290577880581388
1.5                      215                      1                        27.005305090431243
2                        215                      1                        30.85115875114022
2.5                      215                      1                        33.406293120265914
3                        215                      1                        35.05004433097322
3.5                      215                      1                        36.034584413942596
4                        215                      1                        36.547832484421605
4.5                      215                      1                        36.71042157968387
5                        215                      1                        36.61889864279206
1                        220                      1                        21.44840057106797
1.5                      220                      1                        27.279851235255798
2                        220                      1                        31.23917434505549
2.5                      220                      1                        33.894065225938434
3                        220                      1                        35.6257586392462
3.5                      220                      1                        36.68810323109099
4                        220                      1                        37.26343800595754
4.5                      220                      1                        37.47942783424307
5                        220                      1                        37.429395412185755
1                        225                      1                        21.601207884007536
1.5                      225                      1                        27.54712347075975
2                        225                      1                        31.61710785138868
2.5                      225                      1                        34.37390367283403
3                        225                      1                        36.19274549851045
3.5                      225                      1                        37.33101867795665
4                        225                      1                        37.96943733053388
4.5                      225                      1                        38.23786460304203
5                        225                      1                        38.231624726363464
1                        230                      1                        21.748995802099387
1.5                      230                      1                        27.80830016869561
2                        230                      1                        31.98707696152691
2.5                      230                      1                        34.84252572742278
3                        230                      1                        36.74988695677868
3.5                      230                      1                        37.96313526254056
4                        230                      1                        38.66634609441397
4.5                      230                      1                        38.988766456674796
5                        230                      1                        39.026603100990656
1                        235                      1                        21.892062719039316
1.5                      235                      1                        28.061538135783763
2                        235                      1                        32.348790158908145
