% Model:              Анатомическая модель_RPG4.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 11 2025, 13:48
% Table:              Table 1 - Point Evaluation 1
% ro_skin (Ω*m)          ro_scull (Ω*m)           ro_brain (Ω*m)           Electric potential (V), Point: 1
2.5                      80                       3.5                      24.12096108209974
3                        80                       3.5                      24.775332385189586
3.5                      80                       3.5                      25.119025822420355
4                        80                       3.5                      25.267553537160154
4.5                      80                       3.5                      25.294705383991257
5                        80                       3.5                      25.244360989343818
1                        85                       3.5                      17.797429388318392
1.5                      85                       3.5                      21.389143656364887
2                        85                       3.5                      23.4920768522622
2.5                      85                       3.5                      24.72210106967698
3                        85                       3.5                      25.423349858851267
3.5                      85                       3.5                      25.793316881270314
4                        85                       3.5                      25.95351896214744
4.5                      85                       3.5                      25.981084510086873
5                        85                       3.5                      25.923594652900732
1                        90                       3.5                      18.06642339003541
1.5                      90                       3.5                      21.80184678041539
2                        90                       3.5                      24.014502496623805
2.5                      90                       3.5                      25.320866294951273
3                        90                       3.5                      26.071773650071222
3.5                      90                       3.5                      26.47116121323137
4                        90                       3.5                      26.647481058262343
4.5                      90                       3.5                      26.678146541589143
5                        90                       3.5                      26.616287465890565
1                        95                       3.5                      18.326877926299694
1.5                      95                       3.5                      22.20401877126347
2                        95                       3.5                      24.52659315600266
2.5                      95                       3.5                      25.912809419746168
3                        95                       3.5                      26.718420517091644
3.5                      95                       3.5                      27.1522869184397
4                        95                       3.5                      27.347555331934117
4.5                      95                       3.5                      27.38482744033942
5                        95                       3.5                      27.32524524924304
1                        100                      3.5                      18.578132328087563
1.5                      100                      3.5                      22.597928469929535
2                        100                      3.5                      25.032463843683757
2.5                      100                      3.5                      26.499848264902624
3                        100                      3.5                      27.36311889048325
3.5                      100                      3.5                      27.83561054934877
4                        100                      3.5                      28.051353195048407
4.5                      100                      3.5                      28.10244476847025
5                        100                      3.5                      28.04011940469698
1                        105                      3.5                      18.820716817610922
1.5                      105                      3.5                      22.981030037846587
2                        105                      3.5                      25.526366330590378
2.5                      105                      3.5                      27.079699937179768
3                        105                      3.5                      28.002248650815318
3.5                      105                      3.5                      28.513765370843743
4                        105                      3.5                      28.758232481746617
4.5                      105                      3.5                      28.821321528450085
5                        105                      3.5                      28.765698648598686
1                        110                      3.5                      19.055203637579204
1.5                      110                      3.5                      23.35447009188269
2                        110                      3.5                      26.01265902916134
2.5                      110                      3.5                      27.65297413584824
3                        110                      3.5                      28.63910587438943
3.5                      110                      3.5                      29.196606039229934
4                        110                      3.5                      29.466994552719
4.5                      110                      3.5                      29.54701530861594
5                        110                      3.5                      29.498678353435793
1                        115                      3.5                      19.28178602316011
1.5                      115                      3.5                      23.717053365355916
2                        115                      3.5                      26.490137929447286
2.5                      115                      3.5                      28.2181639037898
3                        115                      3.5                      29.268598499391246
3.5                      115                      3.5                      29.873892319486714
4                        115                      3.5                      30.17560757866029
4.5                      115                      3.5                      30.275697217362577
5                        115                      3.5                      30.237260442229996
1                        120                      3.5                      19.501349948662593
1.5                      120                      3.5                      24.072161834265025
2                        120                      3.5                      26.95859069729225
2.5                      120                      3.5                      28.775470464906917
3                        120                      3.5                      29.894759615324432
3.5                      120                      3.5                      30.54882714416803
4                        120                      3.5                      30.884560360674428
4.5                      120                      3.5                      31.006264926860922
5                        120                      3.5                      30.980550187123853
1                        125                      3.5                      19.71196636847406
1.5                      125                      3.5                      24.416410762800645
2                        125                      3.5                      27.41588628225891
2.5                      125                      3.5                      29.32500625040997
3                        125                      3.5                      30.512705670876358
3.5                      125                      3.5                      31.217249199649558
4                        125                      3.5                      31.591027372224687
4.5                      125                      3.5                      31.737839653915316
5                        125                      3.5                      31.727135222011867
1                        130                      3.5                      19.917323956605216
1.5                      130                      3.5                      24.751532941379992
2                        130                      3.5                      27.86764871401911
2.5                      130                      3.5                      29.864961709080518
3                        130                      3.5                      31.125397194413267
3.5                      130                      3.5                      31.883653509690944
4                        130                      3.5                      32.295784413949775
4.5                      130                      3.5                      32.46862458474432
5                        130                      3.5                      32.4746980458535
1                        135                      3.5                      20.11521658476893
1.5                      135                      3.5                      25.07882987173705
2                        135                      3.5                      28.30576624171694
2.5                      135                      3.5                      30.396412262598233
3                        135                      3.5                      31.729617127586266
3.5                      135                      3.5                      32.54357675271345
4                        135                      3.5                      32.99800028424684
4.5                      135                      3.5                      33.20037536024668
5                        135                      3.5                      33.226191254485144
1                        140                      3.5                      20.307403307971917
1.5                      140                      3.5                      25.39807938512392
2                        140                      3.5                      28.736443230738615
2.5                      140                      3.5                      30.9217026740928
3                        140                      3.5                      32.327492975399906
3.5                      140                      3.5                      33.19900498312599
4                        140                      3.5                      33.69570307222817
4.5                      140                      3.5                      33.92990006530596
5                        140                      3.5                      33.976711502061335
1                        145                      3.5                      20.492221479959632
1.5                      145                      3.5                      25.70921952457566
2                        145                      3.5                      29.15833323713251
2.5                      145                      3.5                      31.435918271433778
3                        145                      3.5                      32.91769301958507
3.5                      145                      3.5                      33.84774445899539
4                        145                      3.5                      34.38990392045818
4.5                      145                      3.5                      34.65675303498887
5                        145                      3.5                      34.72603481269789
1                        150                      3.5                      20.672086931025056
1.5                      150                      3.5                      26.011967167493857
2                        150                      3.5                      29.571217738925668
2.5                      150                      3.5                      31.942143645840247
3                        150                      3.5                      33.498657040538575
3.5                      150                      3.5                      34.49030205648258
4                        150                      3.5                      35.07903150059862
4.5                      150                      3.5                      35.38405983344572
5                        150                      3.5                      35.477137780885215
1                        155                      3.5                      20.846125191846504
1.5                      155                      3.5                      26.307107149185214
2                        155                      3.5                      29.97510612545996
2.5                      155                      3.5                      32.439230783596656
3                        155                      3.5                      34.0754877803476
3.5                      155                      3.5                      35.12681022689789
4                        155                      3.5                      35.763464436998376
4.5                      155                      3.5                      36.10211205079051
5                        155                      3.5                      36.2269522664879
1                        160                      3.5                      21.015549068206646
1.5                      160                      3.5                      26.593830761560348
2                        160                      3.5                      30.371573081817843
2.5                      160                      3.5                      32.9285872454503
3                        160                      3.5                      34.64109550136973
3.5                      160                      3.5                      35.7561092942896
4                        160                      3.5                      36.44244662594819
4.5                      160                      3.5                      36.82243852351499
5                        160                      3.5                      36.97122879054555
1                        165                      3.5                      21.17915713994561
1.5                      165                      3.5                      26.873925119516414
2                        165                      3.5                      30.75788935539974
2.5                      165                      3.5                      33.409749193670805
3                        165                      3.5                      35.20179165588068
3.5                      165                      3.5                      36.379989207550054
4                        165                      3.5                      37.11586712629331
4.5                      165                      3.5                      37.53273064221213
5                        165                      3.5                      37.71288261516156
1                        170                      3.5                      21.337737912908665
1.5                      170                      3.5                      27.146901886062494
2                        170                      3.5                      31.138512775639256
2.5                      170                      3.5                      33.88318912803476
3                        170                      3.5                      35.751284347092124
3.5                      170                      3.5                      36.99401092499568
4                        170                      3.5                      37.78354848382921
4.5                      170                      3.5                      38.2411938126192
5                        170                      3.5                      38.45396461769346
1                        175                      3.5                      21.4920297935275
1.5                      175                      3.5                      27.412853891495445
2                        175                      3.5                      31.510497048265634
2.5                      175                      3.5                      34.34676002885608
3                        175                      3.5                      36.294216379558506
3.5                      175                      3.5                      37.60217549664229
4                        175                      3.5                      38.44471221659218
4.5                      175                      3.5                      38.945206813628204
5                        175                      3.5                      39.19521300469262
1                        180                      3.5                      21.641381983106236
1.5                      180                      3.5                      27.672627824851993
2                        180                      3.5                      31.873293608958946
2.5                      180                      3.5                      34.80265269034739
3                        180                      3.5                      36.829224053594615
3.5                      180                      3.5                      38.20415445924067
4                        180                      3.5                      39.10014113018245
4.5                      180                      3.5                      39.64380579911858
5                        180                      3.5                      39.92519045177514
1                        185                      3.5                      21.786811701120044
1.5                      185                      3.5                      27.9245914865312
2                        185                      3.5                      32.22936503108477
2.5                      185                      3.5                      35.25066462739156
3                        185                      3.5                      37.356239064613035
3.5                      185                      3.5                      38.797005051453425
4                        185                      3.5                      39.74856857010562
4.5                      185                      3.5                      40.3371802927353
5                        185                      3.5                      40.65386116037669
1                        190                      3.5                      21.92801419121185
1.5                      190                      3.5                      28.17220246394686
2                        190                      3.5                      32.57805222798527
2.5                      190                      3.5                      35.690560147231466
3                        190                      3.5                      37.87519614560374
3.5                      190                      3.5                      39.383410224940604
4                        190                      3.5                      40.390856795226625
4.5                      190                      3.5                      41.024319466848254
5                        190                      3.5                      41.37841215930246
1                        195                      3.5                      22.065059476001927
1.5                      195                      3.5                      28.41368740462839
2                        195                      3.5                      32.91876984755001
2.5                      195                      3.5                      36.12447111466932
3                        195                      3.5                      38.38626710069801
3.5                      195                      3.5                      39.96242357120761
4                        195                      3.5                      41.02610198570548
4.5                      195                      3.5                      41.70747278868873
5                        195                      3.5                      42.098823573169625
1                        200                      3.5                      22.19929143830757
1.5                      200                      3.5                      28.648883213838047
2                        200                      3.5                      33.253668405154656
2.5                      200                      3.5                      36.547550149676496
3                        200                      3.5                      38.89073218981527
3.5                      200                      3.5                      40.534243159394165
4                        200                      3.5                      41.65518279483919
4.5                      200                      3.5                      42.38357213351128
5                        200                      3.5                      42.81395189313426
1                        205                      3.5                      22.32861917403048
1.5                      205                      3.5                      28.87839117364424
2                        205                      3.5                      33.58081486119012
2.5                      205                      3.5                      36.963965932783196
3                        205                      3.5                      39.38734206839682
3.5                      205                      3.5                      41.098463982855904
4                        205                      3.5                      42.27551487420098
4.5                      205                      3.5                      43.05400014035561
5                        205                      3.5                      43.524151941085734
1                        210                      3.5                      22.454117132069463
1.5                      210                      3.5                      29.10257759436417
2                        210                      3.5                      33.9017875961904
2.5                      210                      3.5                      37.374415005908446
3                        210                      3.5                      39.87567825440655
3.5                      210                      3.5                      41.655143081590126
4                        210                      3.5                      42.892612621082804
4.5                      210                      3.5                      43.717784661824226
5                        210                      3.5                      44.229865095888584
1                        215                      3.5                      22.57713985164729
1.5                      215                      3.5                      29.32218583463012
2                        215                      3.5                      34.21624728229881
2.5                      215                      3.5                      37.776824639427645
3                        215                      3.5                      40.357300255682745
3.5                      215                      3.5                      42.20480034438141
4                        215                      3.5                      43.501167918999954
4.5                      215                      3.5                      44.37965707996074
5                        215                      3.5                      44.92933381594608
1                        220                      3.5                      22.69709318556575
1.5                      220                      3.5                      29.53533264141233
2                        220                      3.5                      34.52324687022835
2.5                      220                      3.5                      38.17099814449314
3                        220                      3.5                      40.82940772236512
3.5                      220                      3.5                      42.74743932157865
4                        220                      3.5                      44.102543792831426
4.5                      220                      3.5                      45.027779375038875
5                        220                      3.5                      45.622759507941964
1                        225                      3.5                      22.81314543777892
1.5                      225                      3.5                      29.7440550793659
2                        225                      3.5                      34.82645735234695
2.5                      225                      3.5                      38.56182565025884
3                        225                      3.5                      41.29703877916815
3.5                      225                      3.5                      43.28282303767723
4                        225                      3.5                      44.69723750903893
4.5                      225                      3.5                      45.67388438803019
5                        225                      3.5                      46.31235260045503
1                        230                      3.5                      22.926188990948106
1.5                      230                      3.5                      29.948757864042918
2                        230                      3.5                      35.12173919008033
2.5                      230                      3.5                      38.94229387495001
3                        230                      3.5                      41.75775563535153
3.5                      230                      3.5                      43.81117646846343
4                        230                      3.5                      45.285511912372016
4.5                      230                      3.5                      46.31296458314833
5                        230                      3.5                      46.99369599607465
1                        235                      3.5                      23.037200868559424
1.5                      235                      3.5                      30.14786717743806
2                        235                      3.5                      35.41165521575003
2.5                      235                      3.5                      39.31689597125714
3                        235                      3.5                      42.20885199994473
3.5                      235                      3.5                      44.33398931846605
4                        235                      3.5                      45.86686013999079
4.5                      235                      3.5                      46.94584768753904
5                        235                      3.5                      47.67323726630963
1                        240                      3.5                      23.144661822782446
1.5                      240                      3.5                      30.344803386774743
2                        240                      3.5                      35.69622347646471
2.5                      240                      3.5                      39.68622173834535
3                        240                      3.5                      42.65437080277114
3.5                      240                      3.5                      44.84636519484933
4                        240                      3.5                      46.441118057829584
4.5                      240                      3.5                      47.572570877304486
5                        240                      3.5                      48.34213458586606
1                        245                      3.5                      23.249535970539505
1.5                      245                      3.5                      30.534648190786783
2                        245                      3.5                      35.97505095256879
2.5                      245                      3.5                      40.048088506993736
3                        245                      3.5                      43.09333589217957
3.5                      245                      3.5                      45.356502911440714
4                        245                      3.5                      47.00849728382849
4.5                      245                      3.5                      48.192480956672625
5                        245                      3.5                      49.00773149169254
1                        250                      3.5                      23.350950757620794
1.5                      250                      3.5                      30.72257098892308
2                        250                      3.5                      36.24776715920217
2.5                      250                      3.5                      40.40411997043108
3                        250                      3.5                      43.52585165700775
3.5                      250                      3.5                      45.854045241376696
4                        250                      3.5                      47.569645782396236
4.5                      250                      3.5                      48.80653429876216
5                        250                      3.5                      49.66708276188453
1                        255                      3.5                      23.452899947599313
1.5                      255                      3.5                      30.904461997672755
2                        255                      3.5                      36.516139642889385
2.5                      255                      3.5                      40.753574220522424
3                        255                      3.5                      43.95063343673341
3.5                      255                      3.5                      46.34804215730732
4                        255                      3.5                      48.12391071732648
4.5                      255                      3.5                      49.4140226143158
5                        255                      3.5                      50.32062350009372
1                        260                      3.5                      23.551007961034657
1.5                      260                      3.5                      31.082429820602556
2                        260                      3.5                      36.778260576519585
2.5                      260                      3.5                      41.09803721290268
3                        260                      3.5                      44.370341301730676
3.5                      260                      3.5                      46.834962621478624
4                        260                      3.5                      48.671768098178205
4.5                      260                      3.5                      50.01778098945138
5                        260                      3.5                      50.96816031196039
1                        265                      3.5                      23.644031211059115
1.5                      265                      3.5                      31.25853053154836
2                        265                      3.5                      37.036988294451646
2.5                      265                      3.5                      41.43597708022993
3                        265                      3.5                      44.78260614443626
3.5                      265                      3.5                      47.31772378602045
4                        265                      3.5                      49.21286210906078
4.5                      265                      3.5                      50.6097759061129
5                        265                      3.5                      51.61193730407487
1                        270                      3.5                      23.737070284542625
1.5                      270                      3.5                      31.429013472737736
2                        270                      3.5                      37.28953183315902
2.5                      270                      3.5                      41.76724023456872
3                        270                      3.5                      45.18819715313829
3.5                      270                      3.5                      47.78961393424814
4                        270                      3.5                      49.74754403002461
4.5                      270                      3.5                      51.198484814407436
5                        270                      3.5                      52.24580745465016
1                        275                      3.5                      23.82828394571802
1.5                      275                      3.5                      31.59641129823318
2                        275                      3.5                      37.53784618790547
2.5                      275                      3.5                      42.09514002382885
3                        275                      3.5                      45.58948026696652
3.5                      275                      3.5                      48.25737903658785
4                        275                      3.5                      50.275969303096645
4.5                      275                      3.5                      51.78566295840537
5                        275                      3.5                      52.87617325979727
1                        280                      3.5                      23.91694082191367
1.5                      280                      3.5                      31.7603583823812
2                        280                      3.5                      37.78103999679341
2.5                      280                      3.5                      42.41644791431811
3                        280                      3.5                      45.983782805523035
3.5                      280                      3.5                      48.71874443928161
4                        280                      3.5                      50.80033415537943
4.5                      280                      3.5                      52.35717610262921
5                        280                      3.5                      53.49765262252495
1                        285                      3.5                      24.002745039320658
1.5                      285                      3.5                      31.92221211447786
2                        285                      3.5                      38.02073692977453
2.5                      285                      3.5                      42.73265523473542
3                        285                      3.5                      46.37251910368492
3.5                      285                      3.5                      49.17396859690038
4                        285                      3.5                      51.31403551446866
4.5                      285                      3.5                      52.92589055923821
5                        285                      3.5                      54.1166530571727
1                        290                      3.5                      24.08727438117034
1.5                      290                      3.5                      32.07939406162937
2                        290                      3.5                      38.255144069995566
2.5                      290                      3.5                      43.04259471270008
3                        290                      3.5                      46.755104155643195
3.5                      290                      3.5                      49.62326442091668
4                        290                      3.5                      51.823280236862104
4.5                      290                      3.5                      53.490470826629746
5                        290                      3.5                      54.729176490171284
1                        295                      3.5                      24.171112312241362
1.5                      295                      3.5                      32.233235722905235
2                        295                      3.5                      38.485794050804955
2.5                      295                      3.5                      43.349123975275575
3                        295                      3.5                      47.13240745440109
3.5                      295                      3.5                      50.06643987682867
4                        295                      3.5                      52.32697128928379
4.5                      295                      3.5                      54.04776092435117
5                        295                      3.5                      55.335791158144275
1                        300                      3.5                      24.25153828869209
1.5                      300                      3.5                      32.38466764892314
2                        300                      3.5                      38.712532485306895
2.5                      300                      3.5                      43.64988275079162
3                        300                      3.5                      47.50366259480096
3.5                      300                      3.5                      50.50474073089811
4                        300                      3.5                      52.8243419583234
4.5                      300                      3.5                      54.599896470370766
5                        300                      3.5                      55.935032669928205
1                        305                      3.5                      24.330480395027806
1.5                      305                      3.5                      32.533695334564314
2                        305                      3.5                      38.93477112422242
2.5                      305                      3.5                      43.94538034621969
3                        305                      3.5                      47.870080486412405
3.5                      305                      3.5                      50.93469925030681
4                        305                      3.5                      53.31543609326721
4.5                      305                      3.5                      55.14557594336344
5                        305                      3.5                      56.529947831787666
1                        310                      3.5                      24.408560400762035
1.5                      310                      3.5                      32.67881470445937
2                        310                      3.5                      39.15332754322516
2.5                      310                      3.5                      44.2365616855612
3                        310                      3.5                      48.230814727372234
3.5                      310                      3.5                      51.36137820941383
4                        310                      3.5                      53.801178815122796
4.5                      310                      3.5                      55.68528748785096
5                        310                      3.5                      57.11815885582462
1                        315                      3.5                      24.48389769127263
1.5                      315                      3.5                      32.82246691687304
2                        315                      3.5                      39.367732510917904
2.5                      315                      3.5                      44.52236656007699
3                        315                      3.5                      48.58655494896401
3.5                      315                      3.5                      51.78138706800607
4                        315                      3.5                      54.281269359215145
4.5                      315                      3.5                      56.219159065073484
5                        315                      3.5                      57.70168638505319
1                        320                      3.5                      24.55830211137662
1.5                      320                      3.5                      32.960627409966705
2                        320                      3.5                      39.57803577625327
2.5                      320                      3.5                      44.80514299176237
3                        320                      3.5                      48.93570557640362
3.5                      320                      3.5                      52.195940124142595
4                        320                      3.5                      54.75494798896548
4.5                      320                      3.5                      56.74712314237087
5                        320                      3.5                      58.27851340894853
1                        325                      3.5                      24.631190347980223
1.5                      325                      3.5                      33.09753961865654
2                        325                      3.5                      39.785214568343505
2.5                      325                      3.5                      45.08218465207854
3                        325                      3.5                      49.282185569305454
3.5                      325                      3.5                      52.60519065728988
4                        325                      3.5                      55.22339544989961
4.5                      325                      3.5                      57.270163317679106
5                        325                      3.5                      58.8496024337818
1                        330                      3.5                      24.701210006318476
1.5                      330                      3.5                      33.232389184319814
2                        330                      3.5                      39.98915427077064
2.5                      330                      3.5                      45.3539298136874
3                        330                      3.5                      49.62232438871794
3.5                      330                      3.5                      53.00913090180268
4                        330                      3.5                      55.68570919149255
4.5                      330                      3.5                      57.786438722415255
5                        330                      3.5                      59.415494627434725
1                        335                      3.5                      24.771162486253367
1.5                      335                      3.5                      33.36548296442909
2                        335                      3.5                      40.18927782799078
2.5                      335                      3.5                      45.62430281606855
3                        335                      3.5                      49.95776611224913
3.5                      335                      3.5                      53.40759383952894
4                        335                      3.5                      56.143490203749366
4.5                      335                      3.5                      58.29774911830816
5                        335                      3.5                      59.975697465661455
1                        340                      3.5                      24.839334229277632
1.5                      340                      3.5                      33.49614039387977
2                        340                      3.5                      40.386020558632055
2.5                      340                      3.5                      45.89028165415945
3                        340                      3.5                      50.288490216133866
3.5                      340                      3.5                      53.80101442947608
4                        340                      3.5                      56.5950638563435
4.5                      340                      3.5                      58.803434346097674
5                        340                      3.5                      60.530626760398405
1                        345                      3.5                      24.90594885124065
1.5                      345                      3.5                      33.62359242634419
2                        345                      3.5                      40.57926283920328
2.5                      345                      3.5                      46.14975196826863
3                        345                      3.5                      50.61425932804487
3.5                      345                      3.5                      54.18951910534582
4                        345                      3.5                      57.04146227903465
4.5                      345                      3.5                      59.30326441855601
