% Model:              Моделирование_мозга_сфера - 3.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 24 2025, 15:59
% Table:              Table 5 - MN
% rho_brain (Ω*m)        rho_scull (Ω*m)          rho_skin (Ω*m)           V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1
1                        95                       4.5                      184.91100701969162       122.54966062781364       269.47484086238273
1                        95                       5                        189.93743873177215       128.5040409681373        294.86139679340613
1                        100                      1                        97.9575413462473         47.46475202903157        68.30180615764345
1                        100                      1.5                      122.94698764264282       64.42353106522006        100.29373110869581
1                        100                      2                        141.59020011315204       78.68307103901176        131.1266376498395
1                        100                      2.5                      156.09740475901424       90.87089348742012        160.92239316243405
1                        100                      3                        167.69594790429403       101.40774388377956       189.77428816904393
1                        100                      3.5                      177.1418307836778        110.59500793763007       217.75751257073605
1                        100                      4                        184.9376593199483        118.65844229502946       244.93496915161197
1                        100                      4.5                      191.43362900844573       125.77241447694264       271.3602636819896
1                        100                      5                        196.88350789612056       132.0759821898102        297.0799033239868
1                        105                      1                        99.70707827994245        47.93353882304805        68.44468221645681
1                        105                      1.5                      125.59974157057687       65.2509026139034         100.58145951835084
1                        105                      2                        145.04205596431342       79.89036990576915        131.59470503292434
1                        105                      2.5                      160.25761858947502       92.46416671063787        161.60080301840566
1                        105                      3                        172.48778845066636       103.38430920835205       190.68857029954827
1                        105                      3.5                      182.50072342735433       112.94740822242916       218.93005360154467
1                        105                      4                        190.80788398709169       121.3757628543135        246.38520688793074
1                        105                      4.5                      197.76706314557265       128.8423188138666        273.10559335281937
1                        105                      5                        203.63830547678978       135.48433448362923       299.1356197058417
1                        110                      1                        101.37347095320135       48.372283987335706       68.57636123592732
1                        110                      1.5                      128.14041525682856       66.02845307914174        100.84704623127692
1                        110                      2                        148.36090757108622       81.02878552737013        132.02732220420222
1                        110                      2.5                      164.26943266793222       93.97126002468316        162.22837116247217
1                        110                      3                        177.1197188959586        105.25852046788843       191.53539707703857
1                        110                      3.5                      187.69049758798798       115.18292493895542       220.0170977632416
1                        110                      4                        196.50240011750196       123.96300852852332       247.73109882553908
1                        110                      4.5                      203.921059052803         131.77091324853134       274.7267140605601
1                        110                      5                        210.21221944732446       138.74248814584982       301.0463739557774
1                        115                      1                        102.9630613094426        48.78385141632849        68.69812629689582
1                        115                      1.5                      130.5772699989785        66.76068552212277        101.09299974141439
1                        115                      2                        151.55578881073683       82.10459444834606        132.42850066803425
1                        115                      2.5                      168.14202997223663       95.39885170532816        162.81106208361302
1                        115                      3                        181.6005754471964        107.03834956940439       192.32226530847686
1                        115                      3.5                      192.7215768743513        117.30985771846659       221.0281871928694
1                        115                      4                        202.03198853297243       126.43085598612504       248.98382006625792
1                        115                      4.5                      209.90543821255443       134.56897786817865       276.2369551722221
1                        115                      5                        216.6120214062994        141.86070587844802       302.82819413314854
1                        120                      1                        104.48158001235771       49.171066547582186       68.81111425116767
1                        120                      1.5                      132.91700990478017       67.4520538220842         101.32150848471304
1                        120                      2                        154.63425778059843       83.12302262687109        132.80160232546027
1                        120                      2.5                      171.88400327089127       96.75356445735315        163.35352355931946
1                        120                      3                        185.94026900448364       108.73121169143133       193.05561454524343
1                        120                      3.5                      197.60258432663193       119.33723776471525       221.9712340540749
1                        120                      4                        207.40555130572125       128.78648343839149       250.15343193063717
1                        120                      4.5                      215.72856025587083       137.24494874306205       277.6476719172732
1                        120                      5                        222.848043913941         144.84835335533938       304.49361989572503
1                        125                      1                        105.93384035785584       49.53593560602151        68.91625238976648
1                        125                      1.5                      135.1661289414998        68.10605933966013        101.53446907269854
1                        125                      2                        157.60423540917066       84.08911539051164        133.1496592121461
1                        125                      2.5                      175.50252790568896       98.0417879695353         163.8600024996557
1                        125                      3                        190.14590099115688       110.3442626044858        193.7409096975704
1                        125                      3.5                      202.34059333004996       121.27350790039748       222.8531964461099
1                        125                      4                        212.63049476458838       131.03970318111675       251.24795123967675
1                        125                      4.5                      221.39776698413954       139.80830955852448       278.9690821120929
1                        125                      5                        228.9255797360338        147.71250209463037       306.05458954870664
1                        130                      1                        107.32489148110147       49.880492161009784       69.01435643971328
1                        130                      1.5                      137.33087072937633       68.72552064550118        101.73336946828977
1                        130                      2                        160.4715208130932        85.00686348221146        133.47519145378794
1                        130                      2.5                      179.00548674495377       99.26827928608361        164.33412222074475
1                        130                      3                        194.2254653677188        111.88290888205881       194.38287004752868
1                        130                      3.5                      206.9443318411287        123.1234672175043        223.67991190020263
1                        130                      4                        217.71299305857036       133.19632374074044       252.27483291347673
1                        130                      4.5                      226.92073001577043       142.26585519124188       280.2093361169476
1                        130                      5                        234.85470217961944       150.4628955525131        307.5209078359155
1                        135                      1                        108.65848384555792       50.2065838824071         69.1061343177592
1                        135                      1.5                      139.41605168976508       69.31360308092107        101.91972653219665
1                        135                      2                        163.24240008720602       85.87994523071367        133.78032820098835
1                        135                      2.5                      182.39919416917104       100.43789304287368       164.77897237191593
1                        135                      3                        198.18412497151212       113.35324919727466       194.98562655250464
1                        135                      3.5                      211.42026881772165       124.89350666499841       224.4569378522798
1                        135                      4                        222.66266614317914       135.2635318335113        253.24035071639958
1                        135                      4.5                      232.305761893561         144.62458752706647       281.3765175830396
1                        135                      5                        240.64080833200734       153.1072712357277        308.9014873469388
1                        140                      1                        109.93853707566987       50.51572428619953        69.19219729463151
1                        140                      1.5                      141.42665208178374       69.8728093767451         102.0946230827592
1                        140                      2                        165.92266243468612       86.71216851184478        134.06705192991234
1                        140                      2.5                      185.689498871259         101.5548823037231        165.19729780803993
1                        140                      3                        202.0296054585463        114.7597301579878        195.55292076844512
1                        140                      3.5                      215.77422516314863       126.59001091633601       225.18846930840795
1                        140                      4                        227.48347883377755       137.2469436955761        254.1500618673134
1                        140                      4.5                      237.55729621739414       146.89061595991927       282.47693241146635
1                        140                      5                        246.2914815260836        155.65044837168185       310.2035861522746
1                        145                      1                        111.16857761318568       50.80915684933619        69.27306546265262
1                        145                      1.5                      143.36673058495546       70.40508277110165        102.25920423080268
1                        145                      2                        168.51724014289576       87.50614864192531        134.3370079617768
1                        145                      2.5                      188.8804186342381        102.62236226204202       165.59148212597228
1                        145                      3                        205.7678903486253        116.10647450170944       196.08777532264378
1                        145                      3.5                      220.01339223751307       128.21684575221735       225.8787223864054
1                        145                      4                        232.18303874487697       139.15235169307826       255.00901166846066
1                        145                      4.5                      242.68193992693602       149.071379110623         283.5162434886363
1                        145                      5                        251.80910389786996       158.1009396925062        311.43426609303145
1                        150                      1                        112.35149039774237       51.08804401729938        69.34922190918022
1                        150                      1.5                      145.24138883221576       70.9126627892712         102.41429530154686
1                        150                      2                        171.03038391046766       88.26522608646059        134.5917430671896
1                        150                      2.5                      191.97986770244728       103.64472953018287       165.96355310126353
1                        150                      3                        209.40358400659602       117.39786345958524       196.59303732393687
1                        150                      3.5                      224.14107681228626       129.77924998690315       226.53130893222342
1                        150                      4                        236.76603648379805       140.9847548824351        255.82120911723973
1                        150                      4.5                      247.68541229732807       151.1706501368833        284.4999209595793
1                        150                      5                        257.20335813013446       160.46176239828554       312.5996124996254
1                        155                      1                        113.49011192718936       51.353698658472865       69.42107021915129
1                        155                      1.5                      147.05267482478956       71.3973232242547         102.5607981507656
1                        155                      2                        173.46667484615892       88.9910996479687         134.83247512791445
1                        155                      2.5                      194.9893867767522        104.62467350841497       166.31550547751124
